วันที่ทำการทดลอง,ระยะที่ทำการวัด ( cm ),A1,A2,A3,Avg,Error,Unnamed: 7
,2000,2191,2083,2136,2136.666667,-136.6666667,
,2000,2189,2083,2136,2136.0,-136.0,
,2000,2190,2083,2136,2136.333333,-136.3333333,
,2000,2187,2083,2136,2135.333333,-135.3333333,
,2000,2188,2083,2136,2135.666667,-135.6666667,
,2000,2192,2083,2136,2137.0,-137.0,
,2000,2184,2083,2136,2134.333333,-134.3333333,
,2000,2185,2083,2136,2134.666667,-134.6666667,
,2000,2186,2083,2136,2135.0,-135.0,
5/10/2025,3000,2917,2791,2936,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2918,2816,2911,2881.666667,118.3333333,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
,3000,2917,2816,2911,2881.333333,118.6666667,
